source_organisation,source_location,amountUSD,flow,destination_organisation,destination_location
South Sudan CHF,South Sudan,198255,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,99010,internal,Community in Need Aid,South Sudan
South Sudan CHF,South Sudan,113861,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,190765,internal,Nonviolent Peaceforce,South Sudan
South Sudan CHF,South Sudan,76013,internal,Street Children Aid,South Sudan
South Sudan CHF,South Sudan,200090,internal,United Nations Population Fund,South Sudan
South Sudan CHF,South Sudan,299999,internal,United Nations Children's Fund,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1687289,internal,International Organization for Migration,South Sudan
Empty,South Sudan,596153,internal,Norwegian Red Cross,South Sudan
South Sudan CHF,South Sudan,800096,internal,World Health Organization,South Sudan
South Sudan CHF,South Sudan,300007,internal,World Health Organization,South Sudan
South Sudan CHF,South Sudan,1991743,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,1480040,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,1800001,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,882362,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,213040,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,518274,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,1000000,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,2784000,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,497194,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,125490,internal,World Food Programme,South Sudan
Empty,South Sudan,700000,internal,World Food Programme,South Sudan
"Republic of South Sudan, Government of",South Sudan,274178,internal,World Food Programme,South Sudan
Empty,South Sudan,137533,internal,World Food Programme,South Sudan
Empty,South Sudan,5346500,internal,South Sudan CHF,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,531000,internal,World Vision South Sudan,South Sudan
Empty,South Sudan,636780,internal,Office for the Coordination of Humanitarian Affairs,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,39382,internal,Concern Worldwide,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,10604454,internal,World Food Programme,South Sudan
Empty,South Sudan,7062147,internal,Food & Agriculture Organization of the United Nations,South Sudan
Empty,South Sudan,384615,internal,Danish Refugee Council,South Sudan
Empty,South Sudan,530146,internal,Agency for Technical Cooperation and Development,South Sudan
Empty,South Sudan,124740,internal,United Nations Humanitarian Air Service,South Sudan
Empty,South Sudan,520291,internal,United Nations High Commissioner for Refugees,South Sudan
South Sudan CHF,South Sudan,478825,internal,United Nations High Commissioner for Refugees,South Sudan
South Sudan CHF,South Sudan,1010138,internal,United Nations High Commissioner for Refugees,South Sudan
Empty,South Sudan,1683502,internal,NGOs (details not yet provided),South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,810557,internal,Concern Worldwide,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1625136,internal,World Food Programme,South Sudan
Empty,South Sudan,3900000,internal,International Organization for Migration,South Sudan
Empty,South Sudan,1819187,internal,United Nations High Commissioner for Refugees,South Sudan
Empty,South Sudan,254801,internal,MEDAIR,South Sudan
Empty,South Sudan,59836,internal,Save the Children ,South Sudan
Empty,South Sudan,4052685,internal,International Committee of the Red Cross,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,256540,internal,International Medical Corps UK,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1035419,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,44000,internal,Save the Children ,South Sudan
Empty,South Sudan,2173913,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,915261,internal,GOAL,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2651113,internal,United Nations High Commissioner for Refugees,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1682746,internal,Polish Humanitarian Action,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,325027,internal,TEARFUND,South Sudan
Empty,South Sudan,7148260,internal,South Sudan CHF,South Sudan
South Sudan CHF,South Sudan,203214,internal,Fashoda Youth Forum,South Sudan
Empty,South Sudan,1300000,internal,International Organization for Migration,South Sudan
Empty,South Sudan,1400000,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,1105003,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2166847,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,250000,internal,International Organization for Migration,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1530791,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,583333,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,583333,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,1741756,internal,M̩decins sans Fronti̬res,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2009720,internal,International Organization for Migration,South Sudan
Empty,South Sudan,700000,internal,International Organization for Migration,South Sudan
Empty,South Sudan,4705000,internal,International Organization for Migration,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1172299,internal,MEDAIR,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1728395,internal,International Medical Corps UK,South Sudan
Empty,South Sudan,1096491,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,912800,internal,United Nations Children's Fund,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2708559,internal,M̩decins sans Fronti̬res - Belgium,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,4333694,internal,Solidarit̩s International,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1118568,internal,World Health Organization,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,22643262,internal,World Food Programme,South Sudan
Empty,South Sudan,194400,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,348351,internal,OXFAM GB,South Sudan
Empty,South Sudan,135521,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,1037219,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,99580140,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,15129101,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,49216073,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,8785347,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,19856315,internal,World Food Programme,South Sudan
Empty,South Sudan,2500000,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,1800000,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,197884,internal,Danish De-mining Group,South Sudan
South Sudan CHF,South Sudan,495042,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,150849,internal,Rural Community Action for Peace and Development,South Sudan
South Sudan CHF,South Sudan,102525,internal,World Relief,South Sudan
World Food Programme,South Sudan,55866224,internal,World Food Programme,South Sudan
World Food Programme,South Sudan,7474693,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2166847,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,7675439,internal,World Food Programme,South Sudan
Empty,South Sudan,1167134,internal,World Food Programme,South Sudan
South Sudan CHF,South Sudan,247526,internal,Health Link South Sudan,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,300000,internal,United Nations Children's Fund,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1200000,internal,United Nations Children's Fund,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1956574,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,285104,internal,INTERSOS,South Sudan
South Sudan CHF,South Sudan,289622,internal,INTERSOS,South Sudan
South Sudan CHF,South Sudan,301522,internal,INTERSOS,South Sudan
Empty,South Sudan,287179,internal,INTERSOS,South Sudan
Empty,South Sudan,300000,internal,International Organization for Migration,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,923000,internal,International Organization for Migration,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,609266,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,247992,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,355632,internal,Concern Worldwide,South Sudan
South Sudan CHF,South Sudan,222778,internal,Danish Refugee Council,South Sudan
South Sudan CHF,South Sudan,179126,internal,INTERSOS,South Sudan
South Sudan CHF,South Sudan,1838814,internal,International Organization for Migration,South Sudan
Empty,South Sudan,124352,internal,World Food Programme,South Sudan
Empty,South Sudan,352332,internal,World Food Programme,South Sudan
South Sudan CHF,South Sudan,247525,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,156434,internal,Universal Network for Knowledge and Empowerment Agency,South Sudan
Empty,South Sudan,356394,internal,NGO FORUM,South Sudan
South Sudan CHF,South Sudan,396085,internal,ACF - USA,South Sudan
South Sudan CHF,South Sudan,295050,internal,Christian Mission for Development,South Sudan
South Sudan CHF,South Sudan,396038,internal,Concern Worldwide,South Sudan
South Sudan CHF,South Sudan,399994,internal,International Organization for Migration,South Sudan
Empty,South Sudan,1099706,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,396040,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,277228,internal,MEDAIR,South Sudan
South Sudan CHF,South Sudan,297030,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,495049,internal,OXFAM GB,South Sudan
South Sudan CHF,South Sudan,197723,internal,Polish Humanitarian Action,South Sudan
Empty,South Sudan,923598,internal,International Rescue Committee,South Sudan
Empty,South Sudan,1409073,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,50000,internal,Rural Water and Sanitation Support Agency,South Sudan
South Sudan CHF,South Sudan,206931,internal,TEARFUND,South Sudan
Empty,South Sudan,1322401,internal,International Committee of the Red Cross,South Sudan
"Republic of South Sudan, Government of",South Sudan,630010,internal,GOAL,South Sudan
Empty,South Sudan,1182097,internal,International Rescue Committee,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1495000,internal,ACF - Spain,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,94840,internal,GOAL,South Sudan
Empty,South Sudan,2185228,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,394199,internal,Oxfam Intermon,South Sudan
Empty,South Sudan,556700,internal,Oxfam Intermon,South Sudan
Empty,South Sudan,391948,internal,International Medical Corps UK,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,517975,internal,International Rescue Committee,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,549583,internal,International Rescue Committee,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,441205,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,400000,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,296252,internal,Internews,South Sudan
South Sudan CHF,South Sudan,71262,internal,Action for Development,South Sudan
South Sudan CHF,South Sudan,136634,internal,People in Need,South Sudan
South Sudan CHF,South Sudan,584158,internal,Agency for Technical Cooperation and Development,South Sudan
South Sudan CHF,South Sudan,2000000,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,495050,internal,Danish Refugee Council,South Sudan
South Sudan CHF,South Sudan,400002,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,201100,internal,Advocates Coalition for Rights and Development,South Sudan
South Sudan CHF,South Sudan,229978,internal,IBIS,South Sudan
South Sudan CHF,South Sudan,263680,internal,Norwegian Refugee Council,South Sudan
South Sudan CHF,South Sudan,202779,internal,Community Aid for Development,South Sudan
South Sudan CHF,South Sudan,205098,internal,Associazione Volontari per il Servizio Internazionale,South Sudan
South Sudan CHF,South Sudan,181926,internal,Peace Corps Organization,South Sudan
South Sudan CHF,South Sudan,215764,internal,Christian Mission for Development,South Sudan
South Sudan CHF,South Sudan,198020,internal,Joint Aid Management International,South Sudan
South Sudan CHF,South Sudan,272277,internal,Universal Network for Knowledge and Empowerment Agency,South Sudan
South Sudan CHF,South Sudan,296608,internal,V̩t̩rinaires sans Fronti̬res (Germany),South Sudan
South Sudan CHF,South Sudan,396040,internal,Relief International,South Sudan
South Sudan CHF,South Sudan,297030,internal,Catholic Relief Services,South Sudan
South Sudan CHF,South Sudan,247525,internal,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
South Sudan CHF,South Sudan,272277,internal,Fangak Community Development Initiative,South Sudan
South Sudan CHF,South Sudan,97762,internal,Sign of Hope,South Sudan
South Sudan CHF,South Sudan,148515,internal,Sudan Medical Care,South Sudan
South Sudan CHF,South Sudan,198020,internal,Christian Mission Aid,South Sudan
South Sudan CHF,South Sudan,197340,internal,Universal Network for Knowledge and Empowerment Agency,South Sudan
South Sudan CHF,South Sudan,148515,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,247525,internal,CARE International,South Sudan
South Sudan CHF,South Sudan,346535,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,297029,internal,International Medical Corps UK,South Sudan
South Sudan CHF,South Sudan,198020,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,297031,internal,Health Link South Sudan,South Sudan
South Sudan CHF,South Sudan,396040,internal,MEDAIR,South Sudan
South Sudan CHF,South Sudan,449454,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,198021,internal,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
South Sudan CHF,South Sudan,247492,internal,International Medical Corps UK,South Sudan
South Sudan CHF,South Sudan,649993,internal,United Nations Population Fund,South Sudan
South Sudan CHF,South Sudan,267327,internal,GOAL,South Sudan
South Sudan CHF,South Sudan,1500000,internal,United Nations Office for Project Services,South Sudan
South Sudan CHF,South Sudan,350991,internal,World Vision South Sudan,South Sudan
South Sudan CHF,South Sudan,59406,internal,Lacha Community and Economic Development,South Sudan
South Sudan CHF,South Sudan,2474425,internal,Concern Worldwide,South Sudan
South Sudan CHF,South Sudan,396040,internal,MEDAIR,South Sudan
South Sudan CHF,South Sudan,4369058,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,475248,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,206945,internal,Universal Network for Knowledge and Empowerment Agency,South Sudan
South Sudan CHF,South Sudan,198020,internal,World Relief,South Sudan
South Sudan CHF,South Sudan,230720,internal,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
South Sudan CHF,South Sudan,397421,internal,MEDAIR,South Sudan
South Sudan CHF,South Sudan,198020,internal,GOAL,South Sudan
South Sudan CHF,South Sudan,296892,internal,ACF - USA,South Sudan
South Sudan CHF,South Sudan,221204,internal,Relief International,South Sudan
South Sudan CHF,South Sudan,198020,internal,International Medical Corps UK,South Sudan
South Sudan CHF,South Sudan,123030,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,429605,internal,Nonviolent Peaceforce,South Sudan
South Sudan CHF,South Sudan,309447,internal,Community in Need Aid,South Sudan
South Sudan CHF,South Sudan,120577,internal,Standard Action Liaison Focus,South Sudan
South Sudan CHF,South Sudan,347754,internal,Confident Children out of Conflict,South Sudan
South Sudan CHF,South Sudan,368508,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,526733,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,263366,internal,Terre des Hommes - Lausanne,South Sudan
South Sudan CHF,South Sudan,352972,internal,Handicap International,South Sudan
South Sudan CHF,South Sudan,210693,internal,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
South Sudan CHF,South Sudan,49486,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,212827,internal,United Nations Population Fund,South Sudan
South Sudan CHF,South Sudan,99010,internal,The Health Support Organization,South Sudan
South Sudan CHF,South Sudan,148514,internal,Nile Hope,South Sudan
South Sudan CHF,South Sudan,495050,internal,Solidarit̩s International,South Sudan
South Sudan CHF,South Sudan,1283049,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,415754,internal,Oxfam Intermon,South Sudan
South Sudan CHF,South Sudan,1271902,internal,OXFAM GB,South Sudan
South Sudan CHF,South Sudan,198020,internal,Rural Water and Sanitation Support Agency,South Sudan
South Sudan CHF,South Sudan,742574,internal,OXFAM GB,South Sudan
South Sudan CHF,South Sudan,499956,internal,International Organization for Migration,South Sudan
Empty,South Sudan,716204,internal,World Vision South Sudan,South Sudan
Empty,South Sudan,50000,internal,OXFAM GB,South Sudan
Empty,South Sudan,901639,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,177448,internal,Plan International,South Sudan
Empty,South Sudan,229241,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,241977,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,1360800,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,583200,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,2592000,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,1000000,internal,Food & Agriculture Organization of the United Nations,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1903396,internal,Agency for Technical Cooperation and Development,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1524390,internal,MEDAIR,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1981707,internal,MEDAIR,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,152439,internal,MEDAIR,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,3000000,internal,International Medical Corps UK,South Sudan
Empty,South Sudan,254712,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,318551,internal,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,246045,internal,Agency for Technical Cooperation and Development,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,62948,internal,Agency for Technical Cooperation and Development,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,486342,internal,Agency for Technical Cooperation and Development,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,442478,internal,Danish Refugee Council,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,313053,internal,Danish Refugee Council,South Sudan
Empty,South Sudan,140601,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,234335,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,210902,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,363220,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,941240,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,600525,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,336157,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,739546,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,156387,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,362817,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,187664,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,312774,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,600000,internal,United Nations Population Fund,South Sudan
Empty,South Sudan,579600,internal,United Nations Population Fund,South Sudan
South Sudan CHF,South Sudan,1335026,internal,United Nations Office for Project Services,South Sudan
South Sudan CHF,South Sudan,2500002,internal,International Organization for Migration,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,774336,internal,Norwegian Refugee Council,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1083424,internal,M̩decins sans Fronti̬res,South Sudan
Empty,South Sudan,1555200,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,1101600,internal,United Nations Children's Fund,South Sudan
South Sudan CHF,South Sudan,322500,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,200000,internal,Sign of Hope,South Sudan
South Sudan CHF,South Sudan,891328,internal,Danish Refugee Council,South Sudan
South Sudan CHF,South Sudan,612671,internal,OXFAM GB,South Sudan
South Sudan CHF,South Sudan,499967,internal,Mercy Corps ,South Sudan
South Sudan CHF,South Sudan,790013,internal,International Organization for Migration,South Sudan
South Sudan CHF,South Sudan,75006,internal,Universal Intervention and Development Organization,South Sudan
South Sudan CHF,South Sudan,200000,internal,International Rescue Committee,South Sudan
South Sudan CHF,South Sudan,448199,internal,The Health Support Organization,South Sudan
"Republic of South Sudan, Government of",South Sudan,913625,internal,GOAL,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,20134228,internal,International Committee of the Red Cross,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2212389,internal,OXFAM GB,South Sudan
South Sudan CHF,South Sudan,49835,internal,Lacha Community and Economic Development,South Sudan
Empty,South Sudan,36881,outgoing,United Nations High Commissioner for Refugees,Uganda
Empty,South Sudan,47418,outgoing,United Nations High Commissioner for Refugees,Ethiopia
Empty,South Sudan,1086957,outgoing,World Food Programme,Ethiopia
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1118568,outgoing,United Nations High Commissioner for Refugees,Kenya
Empty,South Sudan,434783,outgoing,World Food Programme,Ethiopia
Empty,South Sudan,682060,outgoing,World Food Programme,Ethiopia
Empty,South Sudan,1086957,outgoing,United Nations High Commissioner for Refugees,Kenya
Empty,South Sudan,520291,outgoing,United Nations High Commissioner for Refugees,Uganda
